Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,5638.7,4668.9,3709.2,1449.7
2.0,5639.4,4669.5,3704.6,1449.8
3.0,5636.2,4669.7,3703.0,1449.9
4.0,5632.1,4667.2,3702.3,1447.4
5.0,5629.6,4665.7,3699.7,1445.9
6.0,5629.7,4666.5,3691.1,1444.8
7.0,5629.7,4665.5,3683.4,1447.1
8.0,5629.8,4666.1,3681.6,1447.5
9.0,5631.0,4666.6,3682.6,1449.0
10.0,5630.9,4667.0,3686.8,1449.2
11.0,5629.8,4666.2,3688.2,1450.3
12.0,5628.8,4665.6,3688.4,1450.3
13.0,5628.9,4665.1,3687.6,1450.2
14.0,5628.1,4665.5,3687.8,1450.2
15.0,5627.4,4666.8,3688.0,1450.2
16.0,5626.8,4667.9,3689.0,1451.8
17.0,5627.1,4668.0,3689.9,1452.5
18.0,5627.3,4667.4,3693.0,1452.3
19.0,5628.3,4666.1,3687.7,1452.9
20.0,5628.4,4667.1,3692.3,1452.7
21.0,5627.8,4668.1,3694.3,1451.7
22.0,5627.9,4668.2,3695.5,1450.2
23.0,5628.8,4669.0,3697.9,1448.7
24.0,5629.6,4669.8,3700.2,1457.2
25.0,5630.3,4670.5,3703.6,1456.0
26.0,5630.2,4671.9,3704.8,1455.6
27.0,5630.9,4671.7,3705.8,1455.9
28.0,5631.5,4671.6,3706.1,1456.2
29.0,5632.1,4670.2,3705.7,1455.7
30.0,5632.6,4668.8,3703.3,1456.0
31.0,5633.1,4668.9,3699.7,1456.3
32.0,5633.6,4669.6,3695.8,1456.5
33.0,5634.0,4671.0,3692.7,1457.4
34.0,5633.7,4672.2,3691.2,1457.6
35.0,5633.5,4672.1,3689.8,1457.8
36.0,5632.6,4671.3,3689.9,1457.9
37.0,5631.8,4671.2,3688.6,1458.0
38.0,5631.0,4670.5,3688.6,1458.2
39.0,5630.3,4670.4,3689.4,1458.9
40.0,5629.6,4671.7,3690.1,1461.0
41.0,5629.0,4672.9,3690.7,1462.8
42.0,5628.4,4674.0,3691.3,1464.6
43.0,5627.9,4673.8,3691.2,1464.3
44.0,5628.0,4674.8,3691.2,1464.0
45.0,5628.1,4675.8,3689.8,1464.4
46.0,5627.6,4676.7,3687.2,1464.1
47.0,5627.1,4676.9,3684.2,1464.5
48.0,5626.6,4677.1,3681.3,1464.9
49.0,5626.2,4676.7,3678.6,1465.2
50.0,5626.4,4674.9,3675.5,1465.5
51.0,5626.6,4673.3,3672.5,1465.8
52.0,5626.1,4673.1,3671.1,1466.1
53.0,5625.7,4673.6,3671.0,1466.3
54.0,5625.4,4674.0,3671.0,1465.3
55.0,5625.7,4674.4,3671.5,1464.9
56.0,5626.0,4673.4,3672.1,1464.6
57.0,5626.2,4671.9,3671.9,1464.3
58.0,5625.8,4670.5,3672.5,1464.0
59.0,5625.4,4670.5,3674.9,1463.8
60.0,5625.1,4671.1,3678.4,1463.5
61.0,5625.4,4671.7,3682.4,1464.0
62.0,5625.1,4672.8,3686.8,1464.3
63.0,5624.7,4674.0,3688.3,1464.1
64.0,5624.4,4675.0,3687.7,1463.2
65.0,5624.1,4676.0,3687.9,1461.7
66.0,5623.9,4676.2,3688.7,1460.3
67.0,5623.6,4677.1,3689.4,1459.6
68.0,5623.4,4677.9,3690.1,1459.0
69.0,5623.2,4677.4,3690.1,1459.0
70.0,5623.0,4677.6,3687.5,1459.1
71.0,5622.8,4677.7,3685.1,1459.8
72.0,5622.6,4678.5,3684.7,1460.5
73.0,5622.4,4678.0,3685.7,1462.4
74.0,5622.3,4677.5,3687.3,1464.2
75.0,5622.8,4677.6,3690.1,1465.8
76.0,5623.2,4677.1,3690.7,1466.1
77.0,5623.7,4677.3,3693.2,1465.1
78.0,5624.1,4676.2,3697.5,1464.1
79.0,5624.5,4676.5,3702.9,1463.8
80.0,5624.8,4676.7,3705.2,1462.9
81.0,5624.5,4676.3,3707.5,1462.7
82.0,5624.2,4675.2,3708.9,1462.6
83.0,5623.9,4674.2,3709.7,1462.4
84.0,5623.7,4673.3,3711.0,1462.2
85.0,5623.5,4673.1,3714.1,1461.5
86.0,5623.2,4672.2,3717.7,1461.4
87.0,5623.7,4671.5,3721.1,1461.9
88.0,5623.4,4670.7,3724.3,1463.7
89.0,5623.2,4669.4,3727.8,1466.1
90.0,5623.0,4668.1,3721.1,1467.6
91.0,5623.5,4667.6,3714.8,1467.8
92.0,5623.2,4667.8,3708.8,1469.2
93.0,5623.0,4667.9,3703.3,1471.2
94.0,5622.8,4668.0,3698.1,1472.4
95.0,5622.6,4667.5,3693.3,1472.2
96.0,5623.1,4666.4,3688.8,1472.1
97.0,5623.6,4666.6,3684.5,1472.0
98.0,5623.3,4666.8,3680.5,1471.8
99.0,5623.1,4665.8,3676.8,1470.4
100.0,5622.9,4666.7,3683.5,1468.5
101.0,5623.4,4666.2,3689.7,1466.6
102.0,5623.2,4665.8,3695.5,1465.6
103.0,5623.0,4666.1,3701.0,1464.6
104.0,5622.8,4665.7,3706.1,1464.3
105.0,5622.6,4666.0,3710.8,1464.0
106.0,5623.0,4666.9,3714.7,1462.4
107.0,5622.8,4667.7,3718.2,1461.6
108.0,5622.6,4667.9,3721.6,1460.2
109.0,5622.5,4668.7,3724.7,1458.9
110.0,5622.3,4668.8,3728.3,1458.4
111.0,5622.1,4668.2,3721.5,1457.2
112.0,5622.0,4668.3,3715.1,1456.7
113.0,5622.5,4668.4,3709.2,1455.6
114.0,5623.7,4669.2,3703.6,1455.3
115.0,5624.7,4669.9,3698.4,1454.9
116.0,5625.7,4669.2,3693.6,1454.6
117.0,5626.6,4669.3,3689.0,1455.0
118.0,5627.5,4669.3,3684.8,1455.3
119.0,5628.3,4670.0,3680.8,1454.9
120.0,5629.0,4671.3,3677.0,1454.6
121.0,5629.7,4672.5,3683.0,1454.3
122.0,5629.8,4673.0,3687.4,1454.0
123.0,5629.8,4673.4,3691.4,1461.5
124.0,5629.1,4674.5,3694.5,1460.7
125.0,5628.6,4674.2,3698.1,1459.4
126.0,5629.3,4673.9,3702.1,1458.1
127.0,5629.3,4675.0,3707.1,1457.6
128.0,5630.0,4675.9,3701.7,1457.1
129.0,5630.7,4676.9,3696.6,1456.7
130.0,5630.6,4677.1,3691.9,1456.9
131.0,5629.9,4677.9,3697.6,1457.7
132.0,5629.9,4678.7,3702.9,1457.9
133.0,5630.0,4679.4,3707.8,1457.4
134.0,5630.0,4678.8,3712.5,1457.5
135.0,5630.0,4679.5,3699.4,1466.7
136.0,5630.0,4678.9,3687.9,1474.0
137.0,5630.0,4677.7,3677.7,1480.9
138.0,5630.0,4677.2,3668.2,1488.5
139.0,5630.0,4676.1,3659.3,1495.7
140.0,5630.0,4676.3,3650.3,1504.4
141.0,5629.3,4677.2,3641.2,1513.8
142.0,5628.7,4678.0,3632.8,1524.5
143.0,5628.2,4678.8,3624.9,1536.5
144.0,5627.6,4677.6,3617.4,1550.2
145.0,5627.1,4676.5,3611.2,1567.6
146.0,5626.7,4676.0,3605.3,1584.5
147.0,5626.9,4675.7,3600.4,1599.7
148.0,5627.1,4674.6,3595.9,1612.6
149.0,5627.3,4674.3,3591.0,1626.0
150.0,5627.5,4673.4,3587.1,1638.5
151.0,5627.6,4673.2,3583.4,1649.6
152.0,5628.4,4673.0,3579.9,1660.6
153.0,5629.2,4672.2,3576.7,1670.8
154.0,5629.9,4671.4,3573.1,1680.5
155.0,5629.9,4670.6,3570.3,1689.5
156.0,5629.9,4669.3,3567.7,1696.6
157.0,5629.2,4668.7,3564.6,1703.9
158.0,5629.9,4668.8,3561.1,1708.8
159.0,5629.9,4669.5,3558.4,1712.1
160.0,5629.9,4670.2,3555.3,1713.3
161.0,5630.0,4670.2,3553.0,1712.4
162.0,5630.0,4670.8,3550.9,1711.6
163.0,5630.0,4671.4,3548.9,1710.2
164.0,5630.6,4672.6,3547.1,1708.9
165.0,5630.5,4673.7,3545.3,1707.0
166.0,5630.4,4673.5,3544.3,1705.3
167.0,5631.0,4673.9,3542.8,1703.0
168.0,5631.6,4673.0,3541.3,1702.2
169.0,5632.1,4671.5,3540.6,1701.4
170.0,5632.6,4671.4,3539.2,1700.7
171.0,5633.1,4671.3,3537.3,1701.3
172.0,5632.9,4670.0,3536.2,1701.8
173.0,5632.7,4669.3,3535.2,1703.0
174.0,5632.6,4669.4,3533.6,1705.4
175.0,5632.4,4670.0,3532.7,1707.6
176.0,5632.2,4670.0,3531.9,1709.7
177.0,5632.1,4670.7,3531.1,1711.0
178.0,5631.3,4670.6,3529.7,1712.2
179.0,5630.6,4671.2,3528.5,1712.7
180.0,5629.9,4672.5,3527.3,1711.9
181.0,5629.9,4673.6,3526.2,1710.5
182.0,5629.9,4674.0,3525.1,1708.5
183.0,5629.9,4674.4,3524.1,1706.1
184.0,5629.9,4674.1,3523.9,1703.1
185.0,5629.9,4673.2,3523.6,1700.3
186.0,5629.9,4671.7,3523.4,1699.0
187.0,5630.6,4670.3,3523.2,1700.4
188.0,5630.5,4669.0,3523.0,1703.6
189.0,5630.5,4668.4,3522.1,1706.5
190.0,5630.5,4668.5,3521.4,1709.3
191.0,5630.4,4668.6,3521.3,1712.0
192.0,5630.4,4668.1,3521.8,1714.4
193.0,5630.4,4667.5,3522.4,1716.1
194.0,5630.4,4667.7,3522.8,1716.3
195.0,5631.0,4667.2,3524.0,1713.3
196.0,5631.6,4666.1,3524.3,1707.3
197.0,5632.1,4665.1,3524.1,1701.0
198.0,5632.6,4665.4,3523.8,1696.5
199.0,5632.5,4664.4,3523.6,1692.2
200.0,5632.3,4663.5,3523.3,1688.2
201.0,5631.5,4662.6,3523.1,1686.4
202.0,5630.8,4661.8,3523.6,1684.7
203.0,5630.1,4662.3,3524.0,1683.7
204.0,5629.4,4662.8,3524.4,1680.2
205.0,5629.5,4663.9,3524.7,1676.4
206.0,5629.5,4664.9,3524.4,1671.4
207.0,5629.5,4666.6,3524.8,1663.6
208.0,5630.2,4668.1,3524.5,1654.3
209.0,5630.8,4668.8,3524.2,1646.3
210.0,5631.4,4668.3,3523.9,1638.8
211.0,5631.3,4667.7,3523.7,1633.7
212.0,5631.9,4667.9,3522.8,1630.3
213.0,5632.4,4667.4,3522.6,1629.6
214.0,5632.3,4666.9,3522.4,1633.5
215.0,5632.8,4665.8,3522.9,1642.3
216.0,5633.2,4666.1,3523.4,1637.6
217.0,5633.7,4666.3,3524.4,1633.2
218.0,5634.1,4667.2,3524.8,1629.0
219.0,5634.5,4668.0,3524.5,1642.6
220.0,5634.2,4669.5,3524.9,1652.8
221.0,5634.5,4669.5,3525.2,1658.4
222.0,5634.9,4668.9,3526.1,1661.7
223.0,5635.2,4669.0,3526.4,1662.3
224.0,5634.8,4668.4,3526.6,1661.5
225.0,5635.2,4668.5,3526.2,1661.4
226.0,5635.5,4667.9,3526.4,1662.6
227.0,5635.8,4668.1,3526.0,1663.7
228.0,5636.0,4669.5,3525.6,1668.6
229.0,5636.3,4670.2,3525.3,1673.2
230.0,5636.5,4670.8,3524.9,1678.2
231.0,5636.8,4672.0,3524.6,1680.9
232.0,5637.0,4673.2,3523.7,1681.5
233.0,5637.2,4674.3,3522.8,1681.4
234.0,5637.3,4675.3,3522.0,1680.0
235.0,5637.5,4675.6,3521.2,1678.7
236.0,5637.7,4674.6,3521.1,1678.1
237.0,5637.2,4673.0,3520.4,1678.9
238.0,5636.7,4672.8,3519.7,1681.6
239.0,5635.6,4672.0,3519.7,1684.0
240.0,5635.2,4671.2,3520.4,1686.4
241.0,5634.8,4671.1,3521.0,1689.8
242.0,5633.9,4671.1,3521.0,1694.3
243.0,5633.0,4671.0,3521.5,1697.9
244.0,5632.1,4669.6,3521.4,1700.0
245.0,5631.3,4669.0,3521.4,1701.9
246.0,5631.9,4667.8,3521.3,1703.7
247.0,5632.4,4667.3,3521.8,1705.4
248.0,5632.9,4668.1,3523.0,1706.4
249.0,5632.7,4668.9,3523.5,1706.6
250.0,5632.5,4669.6,3523.2,1706.2
251.0,5631.7,4669.0,3522.4,1705.8
252.0,5631.0,4669.0,3520.9,1705.4
253.0,5630.3,4668.5,3519.6,1704.4
254.0,5629.6,4668.6,3518.3,1702.8
255.0,5629.0,4669.3,3517.1,1701.4
256.0,5628.4,4670.6,3516.7,1699.3
257.0,5628.5,4671.9,3516.2,1696.8
258.0,5628.6,4671.8,3515.8,1695.7
259.0,5628.1,4671.6,3515.5,1694.7
260.0,5628.8,4670.2,3515.1,1694.4
261.0,5629.5,4668.9,3515.4,1694.8
262.0,5630.2,4667.7,3515.7,1696.4
263.0,5630.9,4666.6,3515.4,1697.3
264.0,5630.8,4665.5,3515.0,1696.8
265.0,5631.4,4665.8,3514.7,1694.4
266.0,5631.9,4666.7,3515.0,1690.3
267.0,5632.5,4667.6,3516.0,1686.4
268.0,5632.9,4667.7,3516.9,1683.4
269.0,5633.4,4669.2,3517.1,1680.6
270.0,5633.2,4670.5,3517.9,1679.3
