数据序列,设备号,测量值
0,0,3010
0,1,4740
0,2,2590
0,3,4710
1,0,3110
1,1,4740
1,2,2590
1,3,4710
2,0,3190
2,1,4740
2,2,2580
2,3,4710
3,0,3160
3,1,4730
3,2,2580
3,3,4710
4,0,3050
4,1,4730
4,2,2590
4,3,4710
5,0,3050
5,1,4740
5,2,2580
5,3,4710
6,0,3090
6,1,4750
6,2,2580
6,3,4710
7,0,3140
7,1,4750
7,2,2580
7,3,4710
8,0,3200
8,1,4750
8,2,2580
8,3,4710
9,0,3250
9,1,4760
9,2,2580
9,3,4710
10,0,3270
10,1,4750
10,2,2580
10,3,4710
11,0,3290
11,1,4740
11,2,2580
11,3,4710
12,0,3300
12,1,4750
12,2,2580
12,3,4710
13,0,3320
13,1,4730
13,2,2580
13,3,4710
14,0,3360
14,1,4730
14,2,2580
14,3,4710
15,0,3380
15,1,4730
15,2,2580
15,3,4710
16,0,3420
16,1,4740
16,2,2580
16,3,4710
17,0,3300
17,1,4740
17,2,2580
17,3,4710
18,0,3310
18,1,4740
18,2,2580
18,3,4710
19,0,3250
19,1,4750
19,2,2580
19,3,4710
20,0,3130
20,1,4750
20,2,2570
20,3,4710
21,0,3070
21,1,4730
21,2,2570
21,3,4710
22,0,3030
22,1,4740
22,2,2570
22,3,4720
23,0,3000
23,1,4740
23,2,2580
23,3,4720
24,0,2950
24,1,4740
24,2,2580
24,3,4710
25,0,2930
25,1,4750
25,2,2570
25,3,4710
26,0,2920
26,1,4740
26,2,2570
26,3,4710
27,0,2910
27,1,4730
27,2,2570
27,3,4710
28,0,2920
28,1,4740
28,2,2580
28,3,4710
29,0,2960
29,1,4750
29,2,2580
29,3,4710
30,0,2990
30,1,4740
30,2,2580
30,3,4710
31,0,3120
31,1,4750
31,2,2580
31,3,4710
32,0,3220
32,1,4750
32,2,2580
32,3,4710
33,0,3290
33,1,4750
33,2,2580
33,3,4720
34,0,3330
34,1,4750
34,2,2580
34,3,4710
35,0,3380
35,1,4760
35,2,2590
35,3,4710
36,0,3190
36,1,4760
36,2,2590
36,3,4710
37,0,3120
37,1,4740
37,2,2590
37,3,4710
38,0,3110
38,1,4750
38,2,2590
38,3,4710
39,0,3100
39,1,4730
39,2,2580
39,3,4710
40,0,3050
40,1,4730
40,2,2580
40,3,4710
41,0,3020
41,1,4730
41,2,2580
41,3,4720
42,0,3030
42,1,4740
42,2,2580
42,3,4720
43,0,3030
43,1,4740
43,2,2580
43,3,4710
44,0,3030
44,1,4750
44,2,2580
44,3,4710
45,0,3030
45,1,4730
45,2,2580
45,3,4710
46,0,3030
46,1,4730
46,2,2580
46,3,4710
47,0,3020
47,1,4730
47,2,2580
47,3,4710
48,0,3050
48,1,4730
48,2,2580
48,3,4710
49,0,2990
49,1,4730
49,2,2580
49,3,4720
50,0,3020
50,1,4730
50,2,2580
50,3,4720
51,0,3020
51,1,4720
51,2,2580
51,3,4710
52,0,3030
52,1,4720
52,2,2580
52,3,4720
53,0,3060
53,1,4720
53,2,2590
53,3,4710
54,0,3070
54,1,4720
54,2,2590
54,3,4710
55,0,3060
55,1,4730
55,2,2590
55,3,4710
56,0,3050
56,1,4740
56,2,2580
56,3,4710
57,0,3010
57,1,4750
57,2,2580
57,3,4710
58,0,2990
58,1,4730
58,2,2580
58,3,4710
59,0,2980
59,1,4720
59,2,2580
59,3,4710
60,0,2980
60,1,4730
60,2,2580
60,3,4710
61,0,2980
61,1,4720
61,2,2590
61,3,4710
62,0,3010
62,1,4720
62,2,2580
62,3,4710
63,0,3090
63,1,4730
63,2,2580
63,3,4710
64,0,3200
64,1,4730
64,2,2580
64,3,4710
65,0,3250
65,1,4740
65,2,2580
65,3,4710
66,0,3290
66,1,4750
66,2,2580
66,3,4710
67,0,3330
67,1,4750
67,2,2570
67,3,4710
68,0,3370
68,1,4760
68,2,2570
68,3,4710
69,0,3370
69,1,4760
69,2,2580
69,3,4710
70,0,3370
70,1,4760
70,2,2590
70,3,4710
71,0,3340
71,1,4760
71,2,2590
71,3,4710
72,0,3280
72,1,4760
72,2,2590
72,3,4710
73,0,3220
73,1,4760
73,2,2590
73,3,4710
74,0,3290
74,1,4760
74,2,2590
74,3,4710
75,0,3340
75,1,4760
75,2,2590
75,3,4710
76,0,3360
76,1,4760
76,2,2590
76,3,4720
77,0,3380
77,1,4760
77,2,2600
77,3,4710
78,0,3410
78,1,4750
78,2,2600
78,3,4710
79,0,3440
79,1,4750
79,2,2610
79,3,4710
80,0,3450
80,1,4740
80,2,2600
80,3,4710
81,0,3450
81,1,4720
81,2,2600
81,3,4710
82,0,3450
82,1,4720
82,2,2590
82,3,4710
83,0,3450
83,1,4730
83,2,2580
83,3,4710
84,0,3420
84,1,4740
84,2,2580
84,3,4710
85,0,3330
85,1,4750
85,2,2590
85,3,4710
86,0,3180
86,1,4750
86,2,2590
86,3,4710
87,0,3100
87,1,4750
87,2,2590
87,3,4710
88,0,3060
88,1,4760
88,2,2600
88,3,4710
89,0,3160
89,1,4770
89,2,2600
89,3,4710
90,0,3110
90,1,4750
90,2,2580
90,3,4710
91,0,3060
91,1,4760
91,2,2590
91,3,4710
92,0,3120
92,1,4760
92,2,2590
92,3,4710
93,0,3110
93,1,4750
93,2,2580
93,3,4710
94,0,3130
94,1,4750
94,2,2580
94,3,4710
95,0,3140
95,1,4750
95,2,2590
95,3,4710
96,0,3140
96,1,4750
96,2,2580
96,3,4700
97,0,3140
97,1,4750
97,2,2590
97,3,4710
98,0,3120
98,1,4740
98,2,2590
98,3,4720
99,0,3100
99,1,4730
99,2,2590
99,3,4710
100,0,3220
100,1,4740
100,2,2590
100,3,4710
101,0,3250
101,1,4750
101,2,2590
101,3,4710
102,0,3230
102,1,4760
102,2,2580
102,3,4720
103,0,3170
103,1,4760
103,2,2580
103,3,4730
104,0,3130
104,1,4740
104,2,2590
104,3,4720
105,0,3090
105,1,4720
105,2,2580
105,3,4720
106,0,3070
106,1,4730
106,2,2580
106,3,4710
107,0,3070
107,1,4720
107,2,2580
107,3,4710
108,0,3030
108,1,4720
108,2,2580
108,3,4720
109,0,3090
109,1,4730
109,2,2580
109,3,4710
110,0,3120
110,1,4730
110,2,2580
110,3,4720
111,0,3160
111,1,4730
111,2,2580
111,3,4710
112,0,3190
112,1,4740
112,2,2580
112,3,4720
113,0,3200
113,1,4740
113,2,2580
113,3,4710
114,0,3230
114,1,4750
114,2,2580
114,3,4710
115,0,3260
115,1,4750
115,2,2580
115,3,4710
116,0,3260
116,1,4760
116,2,2580
116,3,4710
117,0,3270
117,1,4740
117,2,2580
117,3,4710
118,0,3280
118,1,4750
118,2,2580
118,3,4710
119,0,3290
119,1,4750
119,2,2580
119,3,4710
120,0,3300
120,1,4750
120,2,2580
120,3,4710
121,0,3300
121,1,4750
121,2,2580
121,3,4710
122,0,3300
122,1,4750
122,2,2580
122,3,4710
123,0,3300
123,1,4750
123,2,2580
123,3,4710
