Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,4828.9,2209.5,5428.8,3049.3
2.0,4829.5,2213.8,5429.4,3054.7
3.0,4829.6,2212.5,5429.6,3056.5
4.0,4832.3,2211.9,5429.7,3057.4
5.0,4833.9,2213.5,5429.8,3057.5
6.0,4834.9,2212.9,5429.8,3057.9
7.0,4834.8,2212.5,5429.8,3058.2
8.0,4834.7,2213.5,5429.9,3058.5
9.0,4834.1,2214.3,5429.9,3058.4
10.0,4833.6,2213.8,5429.1,3058.6
11.0,4833.3,2213.4,5428.5,3057.7
12.0,4833.3,2213.1,5427.9,3057.9
13.0,4833.0,2213.5,5428.1,3058.1
14.0,4832.8,2213.2,5428.3,3057.4
15.0,4832.9,2214.7,5428.4,3056.8
16.0,4833.0,2215.9,5428.6,3056.9
17.0,4833.0,2216.2,5427.9,3057.0
18.0,4833.1,2216.5,5427.3,3057.0
19.0,4833.2,2217.6,5426.7,3057.3
20.0,4832.9,2217.7,5426.2,3056.7
21.0,4833.0,2217.2,5426.5,3056.2
22.0,4833.5,2217.4,5426.7,3055.8
23.0,4834.0,2217.6,5427.0,3056.1
24.0,4834.4,2217.7,5427.2,3056.2
25.0,4834.8,2217.2,5426.9,3056.5
26.0,4835.2,2216.7,5426.6,3056.7
27.0,4834.8,2216.2,5426.4,3056.9
28.0,4834.5,2215.8,5426.2,3057.2
29.0,4834.2,2216.1,5426.4,3057.3
30.0,4834.6,2215.7,5426.0,3057.4
31.0,4834.3,2215.3,5425.6,3057.6
32.0,4834.2,2215.0,5425.2,3057.1
33.0,4834.2,2215.3,5424.9,3056.6
34.0,4833.9,2215.6,5424.5,3056.2
35.0,4834.3,2215.2,5423.6,3056.4
36.0,4834.7,2214.9,5422.7,3056.0
37.0,4834.7,2215.2,5421.9,3055.6
38.0,4835.0,2216.2,5421.7,3055.2
39.0,4835.3,2216.4,5422.3,3054.9
40.0,4835.6,2216.0,5422.8,3055.2
41.0,4835.9,2216.3,5423.3,3055.5
42.0,4836.2,2215.9,5423.7,3055.8
43.0,4836.1,2215.5,5424.1,3056.1
44.0,4835.7,2215.1,5424.5,3056.3
45.0,4835.3,2214.8,5424.8,3056.6
46.0,4834.9,2214.5,5425.2,3056.8
47.0,4834.6,2214.2,5425.5,3057.0
48.0,4834.3,2214.6,5425.8,3057.2
49.0,4834.0,2214.3,5426.1,3057.3
50.0,4833.8,2214.0,5425.7,3057.3
51.0,4833.5,2215.0,5425.3,3057.4
52.0,4834.0,2216.0,5425.0,3057.5
53.0,4834.4,2216.9,5424.6,3057.7
54.0,4834.7,2217.8,5424.3,3057.8
55.0,4834.4,2218.5,5424.1,3058.0
56.0,4834.8,2219.3,5423.8,3058.1
57.0,4835.1,2220.0,5424.2,3058.1
58.0,4835.4,2220.6,5424.1,3058.1
59.0,4835.7,2220.5,5424.0,3058.1
60.0,4836.0,2220.3,5424.0,3058.1
61.0,4836.3,2220.1,5423.9,3058.1
62.0,4835.9,2220.8,5424.3,3058.2
63.0,4836.1,2221.4,5424.2,3058.2
64.0,4836.4,2221.9,5424.1,3058.3
65.0,4836.6,2222.5,5424.1,3058.4
66.0,4836.8,2222.9,5424.5,3058.5
67.0,4837.0,2222.8,5424.8,3058.0
68.0,4836.6,2221.9,5424.5,3058.1
69.0,4836.4,2221.2,5424.2,3057.6
70.0,4836.6,2220.4,5423.9,3057.1
71.0,4836.2,2219.8,5423.7,3056.6
72.0,4836.1,2219.1,5423.4,3056.2
73.0,4835.9,2218.5,5422.6,3055.8
74.0,4835.8,2218.6,5421.8,3056.1
75.0,4835.4,2218.7,5421.0,3056.3
76.0,4835.1,2218.8,5420.3,3056.6
77.0,4835.4,2218.9,5419.6,3056.8
78.0,4835.7,2219.0,5419.0,3056.3
79.0,4836.0,2218.4,5418.4,3055.9
80.0,4836.2,2218.5,5417.9,3056.2
81.0,4836.5,2218.6,5417.4,3056.4
82.0,4836.7,2218.0,5416.9,3056.7
83.0,4836.9,2218.2,5416.5,3056.9
84.0,4837.1,2217.6,5416.0,3057.1
85.0,4837.3,2217.8,5415.7,3057.3
86.0,4837.5,2217.9,5415.3,3057.5
87.0,4837.6,2217.4,5414.9,3057.6
88.0,4837.8,2216.9,5414.6,3057.8
89.0,4837.5,2217.1,5414.3,3057.9
90.0,4837.3,2217.3,5414.7,3058.0
91.0,4837.1,2217.5,5415.0,3058.2
92.0,4836.6,2218.3,5414.7,3057.6
93.0,4836.5,2218.4,5414.4,3057.8
94.0,4836.1,2218.5,5414.1,3057.9
95.0,4835.7,2218.6,5414.5,3058.1
96.0,4835.9,2218.1,5414.9,3058.2
97.0,4835.6,2218.2,5415.2,3058.3
98.0,4835.2,2218.3,5415.5,3058.4
99.0,4834.9,2218.4,5415.1,3057.9
100.0,4834.6,2218.5,5414.8,3057.4
101.0,4834.3,2218.6,5414.5,3057.5
102.0,4834.0,2218.7,5414.9,3057.7
103.0,4834.0,2218.8,5414.5,3057.2
104.0,4834.0,2218.9,5414.9,3056.7
105.0,4834.0,2218.9,5415.2,3056.3
106.0,4834.0,2219.6,5414.9,3055.9
