Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,1519.7,3719.2,4678.9,5700.7
2.0,1515.3,3714.6,4684.5,5701.4
3.0,1513.5,3719.8,4686.3,5701.6
4.0,1512.6,3727.4,4687.3,5703.7
5.0,1512.3,3732.1,4687.8,5705.0
6.0,1511.9,3731.7,4686.5,5705.9
7.0,1511.6,3729.9,4685.5,5706.5
8.0,1512.7,3732.6,4684.8,5707.0
9.0,1512.5,3736.0,4685.4,5706.1
10.0,1513.4,3739.8,4685.9,5705.4
11.0,1513.0,3743.0,4686.3,5704.9
12.0,1512.7,3742.7,4686.7,5704.4
13.0,1512.5,3743.3,4687.0,5704.0
14.0,1512.2,3742.2,4686.4,5703.6
15.0,1512.1,3743.7,4685.8,5704.2
16.0,1511.9,3747.5,4685.4,5703.8
17.0,1511.7,3753.3,4684.9,5703.5
18.0,1511.6,3746.0,4683.8,5704.0
19.0,1511.6,3739.5,4682.7,5704.5
20.0,1511.4,3733.6,4682.5,5704.9
21.0,1511.3,3739.9,4682.3,5704.5
22.0,1512.0,3734.1,4682.2,5704.2
23.0,1512.5,3728.9,4682.0,5703.9
24.0,1513.1,3724.0,4681.9,5703.6
25.0,1513.5,3719.6,4681.7,5704.1
26.0,1513.3,3715.5,4681.6,5704.5
27.0,1513.1,3711.7,4681.5,5704.9
28.0,1512.9,3708.2,4681.4,5705.2
29.0,1512.7,3705.0,4681.3,5704.9
30.0,1512.5,3702.0,4681.2,5704.5
31.0,1512.3,3699.2,4681.1,5704.2
32.0,1512.2,3696.6,4681.1,5703.9
33.0,1512.2,3694.1,4681.0,5703.7
34.0,1512.0,3691.9,4680.9,5703.4
35.0,1511.9,3689.8,4680.9,5703.9
36.0,1511.8,3687.8,4680.8,5703.6
37.0,1511.6,3686.0,4680.8,5703.4
38.0,1511.5,3684.3,4680.7,5703.2
39.0,1511.4,3693.2,4680.7,5703.0
40.0,1511.4,3700.8,4680.6,5703.4
41.0,1511.4,3707.2,4680.6,5703.3
42.0,1511.4,3712.0,4680.5,5703.8
43.0,1511.3,3714.4,4680.5,5704.2
44.0,1511.3,3716.7,4680.5,5704.5
45.0,1511.3,3720.8,4679.8,5704.2
46.0,1511.3,3725.3,4679.2,5703.3
47.0,1511.3,3728.9,4678.6,5703.1
48.0,1511.2,3732.2,4677.4,5702.9
49.0,1511.2,3734.6,4676.9,5702.7
50.0,1511.2,3736.9,4677.1,5703.2
51.0,1511.1,3739.0,4677.3,5703.6
52.0,1511.1,3741.0,4677.5,5704.0
53.0,1511.6,3742.9,4677.0,5703.8
54.0,1512.2,3744.7,4676.5,5703.5
55.0,1512.7,3746.9,4676.1,5703.3
56.0,1513.2,3749.7,4675.7,5703.1
57.0,1512.9,3753.0,4675.3,5702.9
58.0,1513.4,3756.6,4675.6,5702.7
