Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,3279.3,4658.0,2599.4,3919.1
2.0,3279.6,4658.5,2599.7,3914.5
3.0,3279.8,4658.7,2599.8,3913.0
4.0,3279.8,4659.0,2599.9,3909.7
5.0,3279.9,4659.2,2601.9,3911.8
6.0,3279.9,4659.3,2601.6,3913.2
7.0,3279.9,4659.4,2602.9,3912.8
8.0,3279.9,4659.5,2602.5,3911.0
9.0,3279.9,4659.6,2602.2,3912.1
10.0,3281.1,4659.6,2601.9,3913.0
11.0,3282.0,4658.6,2601.7,3912.7
12.0,3282.8,4657.8,2601.6,3913.4
13.0,3282.4,4657.0,2600.5,3914.0
14.0,3283.1,4657.3,2599.6,3913.7
15.0,3283.7,4657.5,2598.7,3912.5
16.0,3283.4,4657.7,2598.0,3910.7
17.0,3283.1,4657.1,2597.4,3908.2
18.0,3282.9,4657.3,2596.8,3906.0
19.0,3283.4,4657.5,2596.3,3905.6
20.0,3283.2,4657.7,2595.8,3906.6
21.0,3282.9,4657.9,2595.4,3906.9
22.0,3282.0,4658.0,2595.7,3906.4
23.0,3281.1,4658.1,2596.0,3906.6
24.0,3281.1,4658.3,2596.3,3906.2
25.0,3281.7,4658.4,2596.6,3906.4
26.0,3281.6,4658.5,2597.5,3906.0
27.0,3282.1,4658.6,2598.3,3906.3
28.0,3282.7,4658.6,2599.1,3905.8
29.0,3283.2,4658.7,2599.9,3906.1
30.0,3283.6,4658.7,2600.5,3906.4
31.0,3284.1,4658.7,2601.2,3906.0
32.0,3283.8,4658.8,2601.8,3906.2
33.0,3283.5,4658.9,2601.5,3907.1
34.0,3283.3,4659.0,2602.1,3908.0
35.0,3283.1,4659.0,2602.6,3908.1
36.0,3282.9,4659.0,2603.1,3908.9
37.0,3282.7,4659.0,2603.5,3910.3
38.0,3282.5,4659.0,2604.0,3911.6
39.0,3282.4,4659.1,2604.3,3912.8
40.0,3282.2,4659.2,2604.7,3913.2
41.0,3282.1,4659.2,2605.1,3913.7
42.0,3281.9,4659.3,2605.4,3912.8
43.0,3281.1,4659.3,2605.7,3912.6
44.0,3281.1,4659.4,2606.0,3913.1
45.0,3281.0,4659.4,2606.2,3912.9
46.0,3280.9,4659.4,2605.8,3912.1
47.0,3280.9,4659.5,2604.8,3910.6
48.0,3280.8,4658.9,2603.8,3908.6
49.0,3280.1,4658.9,2602.9,3906.8
50.0,3279.5,4658.4,2602.1,3905.7
51.0,3278.9,4658.5,2601.3,3904.0
52.0,3278.9,4658.6,2600.6,3903.8
53.0,3278.4,4658.6,2599.9,3903.5
54.0,3277.8,4658.6,2599.3,3903.3
55.0,3277.3,4658.6,2598.7,3903.7
56.0,3276.8,4658.7,2598.1,3904.1
57.0,3276.4,4658.8,2597.6,3904.5
58.0,3276.0,4658.9,2597.7,3904.9
59.0,3275.6,4659.0,2597.9,3905.2
60.0,3275.9,4658.4,2597.4,3904.9
61.0,3276.1,4657.8,2597.5,3905.2
