Number,x1,y1,z1,x,y,z
1.0,52.94,52.76,129.28,50.0,50.0,88.0
2.0,52.93,101.91,139.02,50.0,100.0,88.0
3.0,55.22,150.29,129.61,50.0,150.0,88.0
4.0,56.2,202.46,132.54,50.0,200.0,88.0
5.0,61.26,248.84,129.72,50.0,250.0,88.0
6.0,58.35,296.69,134.27,50.0,300.0,88.0
7.0,59.1,350.0,107.89,50.0,350.0,88.0
8.0,62.61,397.76,174.97,50.0,400.0,88.0
9.0,62.86,445.13,171.62,50.0,450.0,88.0
10.0,108.94,446.33,167.56,100.0,450.0,88.0
11.0,111.55,397.96,129.35,100.0,400.0,88.0
12.0,113.35,346.53,175.46,100.0,350.0,88.0
13.0,109.65,298.63,125.26,100.0,300.0,88.0
14.0,109.7,247.24,123.62,100.0,250.0,88.0
15.0,107.03,197.4,149.32,100.0,200.0,88.0
16.0,105.7,148.73,129.25,100.0,150.0,88.0
17.0,104.13,99.54,136.63,100.0,100.0,88.0
18.0,103.39,50.82,129.14,100.0,50.0,88.0
19.0,154.5,51.44,135.62,150.0,50.0,88.0
20.0,156.4,101.14,124.45,150.0,100.0,88.0
21.0,158.7,153.01,157.34,150.0,150.0,88.0
22.0,155.12,198.04,132.18,150.0,200.0,88.0
23.0,156.14,244.36,180.32,150.0,250.0,88.0
24.0,159.02,297.62,128.94,150.0,300.0,88.0
25.0,158.75,340.03,184.41,150.0,350.0,88.0
26.0,155.13,394.57,183.72,150.0,400.0,88.0
27.0,157.11,445.68,116.77,150.0,450.0,88.0
28.0,201.97,450.46,135.34,200.0,450.0,88.0
29.0,199.74,399.41,102.09,200.0,400.0,88.0
30.0,206.32,349.57,121.73,200.0,350.0,88.0
31.0,201.39,299.25,183.12,200.0,300.0,88.0
32.0,200.28,247.0,116.81,200.0,250.0,88.0
33.0,202.1,197.45,131.3,200.0,200.0,88.0
34.0,203.94,149.73,132.22,200.0,150.0,88.0
35.0,202.29,100.38,122.61,200.0,100.0,88.0
36.0,201.98,49.89,127.02,200.0,50.0,88.0
37.0,251.04,48.41,123.8,250.0,50.0,88.0
38.0,249.82,98.84,126.2,250.0,100.0,88.0
39.0,248.39,146.86,137.9,250.0,150.0,88.0
40.0,249.81,195.88,132.25,250.0,200.0,88.0
41.0,249.85,248.87,124.21,250.0,250.0,88.0
42.0,250.86,298.72,125.2,250.0,300.0,88.0
43.0,252.7,351.11,128.98,250.0,350.0,88.0
44.0,253.9,399.54,119.86,250.0,400.0,88.0
45.0,253.24,449.71,133.43,250.0,450.0,88.0
46.0,303.24,447.04,125.49,300.0,450.0,88.0
47.0,305.39,400.67,125.76,300.0,400.0,88.0
48.0,301.8,351.08,133.54,300.0,350.0,88.0
49.0,303.21,300.54,168.22,300.0,300.0,88.0
50.0,299.02,253.67,135.22,300.0,250.0,88.0
51.0,293.83,198.37,101.49,300.0,200.0,88.0
52.0,289.46,153.61,149.59,300.0,150.0,88.0
53.0,291.7,102.0,124.84,300.0,100.0,88.0
54.0,292.17,42.49,110.02,300.0,50.0,88.0
55.0,341.36,45.9,111.98,350.0,50.0,88.0
56.0,339.63,97.85,117.72,350.0,100.0,88.0
57.0,336.8,153.3,186.06,350.0,150.0,88.0
58.0,336.49,197.34,132.53,350.0,200.0,88.0
59.0,340.28,252.0,128.5,350.0,250.0,88.0
60.0,342.34,301.76,130.68,350.0,300.0,88.0
61.0,343.28,353.85,140.7,350.0,350.0,88.0
62.0,344.97,404.62,132.85,350.0,400.0,88.0
63.0,348.28,452.89,127.61,350.0,450.0,88.0
64.0,398.2,454.92,133.34,400.0,450.0,88.0
65.0,399.12,396.07,125.66,400.0,400.0,88.0
66.0,400.18,350.15,132.96,400.0,350.0,88.0
67.0,400.73,300.85,125.96,400.0,300.0,88.0
68.0,398.66,254.34,120.47,400.0,250.0,88.0
69.0,392.81,197.07,95.01,400.0,200.0,88.0
70.0,393.84,149.93,116.12,400.0,150.0,88.0
71.0,396.4,99.74,175.95,400.0,100.0,88.0
72.0,387.83,52.16,172.19,400.0,50.0,88.0
73.0,436.27,51.7,171.39,450.0,50.0,88.0
74.0,437.14,104.67,173.53,450.0,100.0,88.0
75.0,440.77,148.16,90.96,450.0,150.0,88.0
76.0,441.26,198.93,106.46,450.0,200.0,88.0
77.0,444.55,252.13,111.68,450.0,250.0,88.0
78.0,440.39,308.87,155.67,450.0,300.0,88.0
79.0,444.65,358.26,129.51,450.0,350.0,88.0
80.0,448.42,405.3,127.37,450.0,400.0,88.0
81.0,451.89,457.37,115.5,450.0,450.0,88.0
82.0,43.63,60.6,138.43,50.0,50.0,130.0
83.0,46.68,104.49,138.5,50.0,100.0,130.0
84.0,52.22,159.29,139.54,50.0,150.0,130.0
85.0,47.95,207.55,140.26,50.0,200.0,130.0
86.0,51.98,254.29,149.73,50.0,250.0,130.0
87.0,50.85,304.14,159.74,50.0,300.0,130.0
88.0,53.82,353.46,159.97,50.0,350.0,130.0
89.0,53.63,402.79,165.01,50.0,400.0,130.0
90.0,53.17,452.79,176.71,50.0,450.0,130.0
91.0,100.45,451.05,159.88,100.0,450.0,130.0
92.0,99.04,396.74,160.15,100.0,400.0,130.0
93.0,107.01,351.14,158.87,100.0,350.0,130.0
94.0,105.96,301.54,158.26,100.0,300.0,130.0
95.0,97.57,253.28,149.69,100.0,250.0,130.0
96.0,94.26,203.68,145.73,100.0,200.0,130.0
97.0,96.8,152.91,132.52,100.0,150.0,130.0
98.0,95.93,106.61,128.98,100.0,100.0,130.0
99.0,95.18,58.2,136.35,100.0,50.0,130.0
100.0,146.65,56.36,139.39,150.0,50.0,130.0
101.0,151.97,103.47,140.55,150.0,100.0,130.0
102.0,149.59,152.65,141.58,150.0,150.0,130.0
103.0,149.35,204.25,149.98,150.0,200.0,130.0
104.0,152.32,254.47,150.01,150.0,250.0,130.0
105.0,156.06,305.48,149.78,150.0,300.0,130.0
106.0,159.19,348.43,158.03,150.0,350.0,130.0
107.0,158.53,400.1,159.03,150.0,400.0,130.0
108.0,158.67,450.36,150.91,150.0,450.0,130.0
109.0,210.6,444.65,159.33,200.0,450.0,130.0
110.0,208.66,395.95,158.38,200.0,400.0,130.0
111.0,208.75,345.08,149.34,200.0,350.0,130.0
112.0,206.61,302.41,149.91,200.0,300.0,130.0
113.0,201.05,247.43,149.88,200.0,250.0,130.0
114.0,199.12,198.4,150.04,200.0,200.0,130.0
115.0,202.39,151.31,149.93,200.0,150.0,130.0
116.0,200.7,103.26,143.16,200.0,100.0,130.0
117.0,201.75,49.04,145.93,200.0,50.0,130.0
118.0,248.05,51.02,131.91,250.0,50.0,130.0
119.0,246.99,102.36,149.84,250.0,100.0,130.0
120.0,245.41,144.96,149.93,250.0,150.0,130.0
121.0,252.66,199.65,149.29,250.0,200.0,130.0
122.0,254.0,251.12,152.05,250.0,250.0,130.0
123.0,253.4,298.83,149.0,250.0,300.0,130.0
124.0,254.49,343.11,149.61,250.0,350.0,130.0
125.0,256.0,393.34,149.79,250.0,400.0,130.0
126.0,255.03,447.21,149.87,250.0,450.0,130.0
127.0,303.29,442.2,144.81,300.0,450.0,130.0
128.0,304.15,393.76,141.25,300.0,400.0,130.0
129.0,301.48,348.02,149.83,300.0,350.0,130.0
130.0,300.23,299.06,150.36,300.0,300.0,130.0
131.0,296.6,248.99,150.48,300.0,250.0,130.0
132.0,301.53,202.23,150.09,300.0,200.0,130.0
133.0,299.22,158.56,149.63,300.0,150.0,130.0
134.0,300.2,106.32,158.34,300.0,100.0,130.0
135.0,300.04,56.71,136.84,300.0,50.0,130.0
136.0,349.53,54.14,137.3,350.0,50.0,130.0
137.0,346.61,102.23,158.98,350.0,100.0,130.0
138.0,348.17,157.02,157.98,350.0,150.0,130.0
139.0,345.8,203.73,149.54,350.0,200.0,130.0
140.0,347.48,251.53,149.46,350.0,250.0,130.0
141.0,349.12,297.18,149.93,350.0,300.0,130.0
142.0,347.71,343.37,141.39,350.0,350.0,130.0
143.0,351.71,394.95,140.69,350.0,400.0,130.0
144.0,349.32,443.6,142.34,350.0,450.0,130.0
145.0,397.7,442.87,135.08,400.0,450.0,130.0
146.0,396.92,391.46,139.87,400.0,400.0,130.0
147.0,393.63,343.62,141.08,400.0,350.0,130.0
148.0,389.0,294.64,145.93,400.0,300.0,130.0
149.0,390.82,244.39,150.12,400.0,250.0,130.0
150.0,389.33,196.28,158.33,400.0,200.0,130.0
151.0,387.7,150.63,158.34,400.0,150.0,130.0
152.0,392.81,98.88,159.86,400.0,100.0,130.0
153.0,389.49,50.71,153.4,400.0,50.0,130.0
154.0,440.68,50.05,174.49,450.0,50.0,130.0
155.0,437.44,104.69,169.57,450.0,100.0,130.0
156.0,440.34,154.47,138.03,450.0,150.0,130.0
157.0,441.85,207.25,152.52,450.0,200.0,130.0
158.0,442.38,256.18,133.18,450.0,250.0,130.0
159.0,440.33,305.51,140.85,450.0,300.0,130.0
160.0,441.49,353.52,131.65,450.0,350.0,130.0
161.0,439.28,400.23,132.22,450.0,400.0,130.0
162.0,440.45,448.21,130.34,450.0,450.0,130.0
163.0,49.45,56.58,137.74,50.0,50.0,170.0
164.0,54.25,102.02,138.7,50.0,100.0,170.0
165.0,51.08,148.24,139.4,50.0,150.0,170.0
166.0,52.48,199.92,140.4,50.0,200.0,170.0
167.0,55.38,246.11,150.0,50.0,250.0,170.0
168.0,52.21,299.11,159.93,50.0,300.0,170.0
169.0,51.84,343.39,160.3,50.0,350.0,170.0
170.0,50.37,392.69,160.76,50.0,400.0,170.0
171.0,50.48,437.87,162.11,50.0,450.0,170.0
172.0,102.69,443.33,161.25,100.0,450.0,170.0
173.0,103.46,395.87,160.61,100.0,400.0,170.0
174.0,104.66,348.54,159.22,100.0,350.0,170.0
175.0,104.97,297.2,158.57,100.0,300.0,170.0
176.0,107.49,248.57,150.16,100.0,250.0,170.0
177.0,102.58,200.41,150.52,100.0,200.0,170.0
178.0,104.01,153.2,140.76,100.0,150.0,170.0
179.0,103.17,97.03,137.06,100.0,100.0,170.0
180.0,103.03,56.35,138.73,100.0,50.0,170.0
181.0,149.59,48.47,141.41,150.0,50.0,170.0
182.0,149.63,103.53,150.02,150.0,100.0,170.0
183.0,150.16,152.83,141.52,150.0,150.0,170.0
184.0,145.68,201.22,171.02,150.0,200.0,170.0
185.0,148.32,251.96,150.08,150.0,250.0,170.0
186.0,143.91,301.08,149.77,150.0,300.0,170.0
187.0,150.0,351.22,157.67,150.0,350.0,170.0
188.0,148.18,402.52,159.86,150.0,400.0,170.0
189.0,148.34,450.05,160.3,150.0,450.0,170.0
190.0,195.31,453.67,152.0,200.0,450.0,170.0
191.0,195.56,395.84,156.63,200.0,400.0,170.0
192.0,197.41,344.18,150.15,200.0,350.0,170.0
193.0,196.85,295.94,150.02,200.0,300.0,170.0
194.0,197.66,247.68,149.44,200.0,250.0,170.0
195.0,198.73,197.2,150.2,200.0,200.0,170.0
196.0,200.52,149.22,150.07,200.0,150.0,170.0
197.0,201.01,98.26,141.27,200.0,100.0,170.0
198.0,201.03,49.45,144.4,200.0,50.0,170.0
199.0,252.59,51.4,142.9,250.0,50.0,170.0
200.0,249.04,101.25,153.17,250.0,100.0,170.0
201.0,250.2,152.85,155.14,250.0,150.0,170.0
202.0,251.2,200.64,150.22,250.0,200.0,170.0
203.0,255.6,251.1,150.04,250.0,250.0,170.0
204.0,257.51,301.68,150.47,250.0,300.0,170.0
205.0,251.59,347.95,150.24,250.0,350.0,170.0
206.0,246.81,403.09,150.03,250.0,400.0,170.0
207.0,249.68,453.15,153.38,250.0,450.0,170.0
208.0,298.17,457.24,143.96,300.0,450.0,170.0
209.0,301.5,397.94,146.08,300.0,400.0,170.0
210.0,299.93,347.53,146.21,300.0,350.0,170.0
211.0,301.47,301.58,150.14,300.0,300.0,170.0
212.0,300.92,252.95,151.78,300.0,250.0,170.0
213.0,295.52,205.16,150.08,300.0,200.0,170.0
214.0,292.29,147.3,149.65,300.0,150.0,170.0
215.0,293.23,100.28,150.8,300.0,100.0,170.0
216.0,294.62,49.53,146.93,300.0,50.0,170.0
217.0,351.94,54.05,161.71,350.0,50.0,170.0
218.0,348.29,109.07,172.06,350.0,100.0,170.0
219.0,348.34,153.32,156.74,350.0,150.0,170.0
220.0,347.12,207.06,154.59,350.0,200.0,170.0
221.0,345.94,257.32,154.14,350.0,250.0,170.0
222.0,345.1,303.61,156.77,350.0,300.0,170.0
223.0,348.75,352.02,144.28,350.0,350.0,170.0
224.0,345.55,401.79,148.2,350.0,400.0,170.0
225.0,345.14,456.78,153.82,350.0,450.0,170.0
226.0,401.01,448.8,162.4,400.0,450.0,170.0
